Application rate	PFT	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
260	MECTcl3p	4	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	19
90	MECTcl3p	5	9	30	0	20	0	0	1	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	5	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	6	30	30	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	22
90	MECTcl3p	6	16	30	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	6	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	7	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	7	0	30	0	9	0	0	21	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	7	24	30	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	8	0	30	0	24	0	0	6	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	8	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	9	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	9	5	30	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	30
260	MECTcl3p	9	13	30	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	MECTcl3p	10	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	10	5	30	0	22	0	0	1	0	0	1	0	0	1	0	0	0	0	30
260	MECTcl3p	10	19	27	0	4	1	0	3	0	0	1	1	0	0	0	0	3	1	30
0	MECTcl3p	11	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	11	8	30	0	19	0	0	2	0	0	1	0	0	0	0	0	0	0	30
260	MECTcl3p	11	2	28	0	16	0	0	6	1	0	2	0	0	1	0	0	3	1	30
0	MECTcl3p	12	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	12	0	30	0	25	0	0	3	0	0	1	0	0	1	0	0	0	0	30
260	MECTcl3p	12	0	28	0	2	0	0	19	1	0	5	0	0	1	1	0	3	0	30
0	MECTcl3p	13	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	13	0	30	0	21	0	0	6	0	0	2	0	0	1	0	0	0	0	30
260	MECTcl3p	13	0	28	0	2	0	0	20	1	0	4	0	0	1	1	0	3	0	30
0	MECTcl3p	14	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	14	0	30	0	4	0	0	24	0	0	2	0	0	0	0	0	0	0	30
260	MECTcl3p	14	0	28	0	6	0	0	17	1	0	4	0	0	0	1	0	3	0	30
0	MECTcl3p	15	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	15	2	30	0	13	0	0	13	0	0	1	0	0	1	0	0	0	0	30
260	MECTcl3p	15	1	28	0	5	0	0	19	1	0	2	0	0	0	1	0	3	0	30
0	MECTcl3p	16	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
90	MECTcl3p	16	13	30	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	30
260	MECTcl3p	16	1	28	0	14	1	0	10	0	0	2	0	0	0	1	0	3	0	30
